trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.started,key_resp.stopped,text_2.started,key_resp_2.started,text_2.stopped,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp_2.keys,key_resp_3.keys,text_4.started,textbox.started,text_4.stopped,text_5.started,textbox.stopped,text_5.stopped,textbox_2.started,text_6.started,textbox_2.stopped,text_6.stopped,textbox_3.started,textbox_3.stopped,textbox.text,textbox_2.text,textbox_3.text,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,7.5164569999906234,10.527820500021335,10.527820500021335,12.527166199986823,12.527166199986823,15.526113200001419,15.54254639998544,17.525383999978658,17.525383999978658,20.524413299979642,20.524413299979642,22.52375370002119,None,None,None,22.52375370002119,25.522583200014196,25.53930310002761,35.519212100014556,35.53600710001774,38.51836099999491,38.51836099999491,48.51490549999289,48.53145010001026,51.51393040001858,51.51393040001858,61.52705929998774,THE MOUSE SAW THE COMPUTER,THE BANK WAS RENIVATED,"THE PLANE FLEW OVER THE BANK
",001149,001,2023-11-28_15h49.48.230,SEMANTIC ASSOCIATION,2023.1.3,60.07907608056678,
1,0,1,0,61.52705929998774,64.52616339997621,64.52616339997621,66.52561790001346,66.52561790001346,69.52458019996993,69.52458019996993,71.52379279996967,71.52379279996967,74.52284689998487,74.52284689998487,76.52201549999882,None,None,None,76.52201549999882,79.52090170001611,79.52090170001611,89.51751309999963,89.53439990000334,92.51667159999488,92.51667159999488,102.51311900001019,102.52992890001042,105.51224439998623,105.51224439998623,115.52555889997166,THE CAT SAW THE MOUSE ON THE COMPUTER.,THE BANK WAS CLOSED FOR ,THE PLANE FLEW OVER THE BANK,001149,001,2023-11-28_15h49.48.230,SEMANTIC ASSOCIATION,2023.1.3,60.07907608056678,
2,0,2,0,115.52555889997166,118.54121390002547,118.52494839997962,120.54064840002684,120.52383119997103,123.52290280000307,123.53969409997808,125.52218740002718,125.52218740002718,128.5379479000112,128.52127650001785,130.52047470002435,None,None,None,130.52047470002435,133.5195641000173,133.5195641000173,143.51606260001427,143.53260819998104,146.5317191000213,146.51501969998935,156.5283522999962,156.5283522999962,159.54384950001258,159.5272400000249,,THE CAT SAW THE MOUSE IN THE CORNER,THE BANK WAS CLOSED FOR RENOVATION,THE PLANE FLEW OVER THE BANK,001149,001,2023-11-28_15h49.48.230,SEMANTIC ASSOCIATION,2023.1.3,60.07907608056678,
