trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.started,key_resp.stopped,text_2.started,key_resp_2.started,text_2.stopped,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp_2.keys,key_resp_3.keys,text_4.started,text_4.stopped,textbox.started,text_5.started,textbox.stopped,text_5.stopped,textbox_2.started,text_6.started,textbox_2.stopped,textbox_3.started,text_6.stopped,textbox_3.stopped,textbox.text,textbox_2.text,textbox_3.text,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,7.086685399990529,10.09712639998179,10.09712639998179,12.096401999995578,12.096401999995578,15.095468899991829,15.111950599995907,17.09462500002701,17.09462500002701,20.093688799999654,20.093688799999654,22.09285070002079,None,None,None,22.09285070002079,25.091841400018893,25.091841400018893,35.088577100017574,35.10515319998376,38.087554300029296,38.087554300029296,48.08411629998591,48.10060890001478,51.0831091,51.099775000009686,61.096357200003695,the mouse saw on the com,bank was getting reno,"the plane flew over bank
",538333,001,2023-11-28_17h05.32.207,SEMANTIC ASSOCIATION,2023.1.3,60.00481238766997,
1,0,1,0,61.096357200003695,64.09538680000696,64.09538680000696,66.09473220002837,66.09473220002837,69.09378310001921,69.09378310001921,71.09303599997656,71.09303599997656,74.09194130002288,74.09194130002288,76.09129920002306,None,None,None,76.09129920002306,79.09023939998588,79.09023939998588,89.08691780001391,89.10355300002266,92.1025410000002,92.0857369999867,102.09919199999422,102.09919199999422,105.09819510002853,105.11470749997534,,the cat saw the mouse on the compurer,the bank was closed,the plane flew over the bank,538333,001,2023-11-28_17h05.32.207,SEMANTIC ASSOCIATION,2023.1.3,60.00481238766997,
2,0,2,0,115.11136959999567,118.12692230002722,118.09369160002097,120.09314180002548,120.09314180002548,123.09217309998348,123.10880220000399,125.09144829999423,125.09144829999423,128.1070189999882,128.09041359997354,130.08969150000485,None,None,None,130.08969150000485,133.10525650001364,133.08863830001792,143.08530759997666,143.10198640002636,146.0841981000267,146.0841981000267,156.0976736000157,156.0976736000157,159.0966118000215,159.1130453000078,,the cat saw the mouse in the corneer,the bank was closed for renovation,the plane flew over the bank,538333,001,2023-11-28_17h05.32.207,SEMANTIC ASSOCIATION,2023.1.3,60.00481238766997,
